  …¢”µ      XC          YC          ZC      ÇúÂÊ      Á¦¾Ø
  0.075632  -250.796759   36.803087    0.000000  4.635192e-02  0.000000e+00
  0.075891  -250.995194   36.925713    0.000000  4.779646e-02  0.000000e+00
  0.076149  -251.195515   37.046435    0.000000  4.915954e-02  0.000000e+00
  0.076407  -251.397747   37.165157    0.000000  5.044256e-02  0.000000e+00
  0.076665  -251.601910   37.281784    0.000000  5.164761e-02  0.000000e+00
  0.076923  -251.808015   37.396220    0.000000  5.277748e-02  0.000000e+00
  0.077181  -252.016066   37.508368    0.000000  5.383565e-02  0.000000e+00
  0.077439  -252.226058   37.618134    0.000000  5.482628e-02  0.000000e+00
  0.077697  -252.437979   37.725422    0.000000  5.575422e-02  0.000000e+00
  0.077956  -252.651805   37.830136    0.000000  5.662500e-02  0.000000e+00
  0.078214  -252.867504   37.932183    0.000000  5.744483e-02  0.000000e+00
  0.078472  -253.085036   38.031467    0.000000  5.822151e-02  0.000000e+00
  0.078730  -253.304350   38.127894    0.000000  5.896403e-02  0.000000e+00
  0.078988  -253.525385   38.221372    0.000000  5.968055e-02  0.000000e+00
  0.079246  -253.748074   38.311809    0.000000  6.037825e-02  0.000000e+00
  0.079504  -253.972340   38.399114    0.000000  6.106333e-02  0.000000e+00
  0.079763  -254.198101   38.483201    0.000000  6.174092e-02  0.000000e+00
  0.080021  -254.425268   38.563983    0.000000  6.241518e-02  0.000000e+00
  0.080279  -254.653747   38.641378    0.000000  6.308919e-02  0.000000e+00
  0.080537  -254.883439   38.715306    0.000000  6.376502e-02  0.000000e+00
  0.080795  -255.114240   38.785691    0.000000  6.444363e-02  0.000000e+00
  0.081053  -255.346044   38.852460    0.000000  6.512493e-02  0.000000e+00
  0.081311  -255.578741   38.915547    0.000000  6.580767e-02  0.000000e+00
  0.081569  -255.812221   38.974887    0.000000  6.648948e-02  0.000000e+00
  0.081828  -256.046371   39.030423    0.000000  6.716676e-02  0.000000e+00
  0.082086  -256.281077   39.082102    0.000000  6.783470e-02  0.000000e+00
  0.082344  -256.516226   39.129875    0.000000  6.848720e-02  0.000000e+00
  0.082602  -256.751708   39.173704    0.000000  6.911682e-02  0.000000e+00
  0.082860  -256.987409   39.213552    0.000000  6.971476e-02  0.000000e+00
  0.083118  -257.223223   39.249392    0.000000  7.027080e-02  0.000000e+00
  0.083376  -257.459043   39.281205    0.000000  7.077328e-02  0.000000e+00
  0.083634  -257.694768   39.308977    0.000000  7.120907e-02  0.000000e+00
